Time,Data
14:42:07,AXT= -0.59 AYT= 2.50 AZT= 2.57 GX= -6.98 GY= 0.05 GZ= 0.56 AXL= 0.05 AYL= -0.44 AZL= -8.75 GXYZ= 7.00
14:42:07,AXYZ= 0.44
14:42:07,the car stop moving
14:42:07,AXT= -0.72 AYT= 3.11 AZT= 3.19 GX= -6.84 GY= 0.21 GZ= 0.69 AXL= 0.07 AYL= -0.55 AZL= -8.75 GXYZ= 6.88
14:42:07,AXYZ= 0.55
14:42:07,the car stop moving
14:42:07,AXT= -0.62 AYT= 2.57 AZT= 2.64 GX= -7.04 GY= 0.27 GZ= 0.61 AXL= 0.06 AYL= -0.45 AZL= -8.73 GXYZ= 7.07
14:42:07,AXYZ= 0.46
14:42:07,the car stop moving
14:42:07,AXT= -0.70 AYT= 3.10 AZT= 3.18 GX= -6.95 GY= 0.26 GZ= 0.81 AXL= 0.06 AYL= -0.54 AZL= -8.74 GXYZ= 7.00
14:42:07,AXYZ= 0.55
14:42:07,the car stop moving
14:42:07,AXT= -0.74 AYT= 2.51 AZT= 2.61 GX= -7.06 GY= 0.08 GZ= 0.58 AXL= 0.08 AYL= -0.44 AZL= -8.74 GXYZ= 7.09
14:42:07,AXYZ= 0.45
14:42:07,the car stop moving
14:42:08,AXT= -0.58 AYT= 2.43 AZT= 2.50 GX= -7.01 GY= 0.18 GZ= 0.79 AXL= 0.06 AYL= -0.43 AZL= -8.75 GXYZ= 7.05
14:42:08,AXYZ= 0.43
14:42:08,the car stop moving
14:42:08,AXT= -0.73 AYT= 2.72 AZT= 2.81 GX= -6.89 GY= 0.34 GZ= 0.69 AXL= 0.07 AYL= -0.48 AZL= -8.74 GXYZ= 6.94
14:42:08,AXYZ= 0.48
14:42:08,the car stop moving
14:42:08,AXT= -0.83 AYT= 2.83 AZT= 2.95 GX= -6.78 GY= 0.09 GZ= 0.74 AXL= 0.09 AYL= -0.50 AZL= -8.74 GXYZ= 6.82
14:42:08,AXYZ= 0.51
14:42:08,the car stop moving
14:42:08,AXT= -1.04 AYT= 3.29 AZT= 3.45 GX= -6.90 GY= 0.29 GZ= 0.63 AXL= 0.12 AYL= -0.58 AZL= -8.73 GXYZ= 6.94
14:42:08,AXYZ= 0.59
14:42:08,the car stop moving
14:42:08,AXT= -0.70 AYT= 2.82 AZT= 2.90 GX= -7.14 GY= 0.30 GZ= 0.65 AXL= 0.07 AYL= -0.50 AZL= -8.75 GXYZ= 7.17
14:42:08,AXYZ= 0.50
14:42:08,the car stop moving
14:42:08,AXT= -0.70 AYT= 2.84 AZT= 2.92 GX= -6.94 GY= 0.15 GZ= 0.59 AXL= 0.07 AYL= -0.50 AZL= -8.73 GXYZ= 6.97
14:42:08,AXYZ= 0.50
14:42:08,the car stop moving
14:42:08,AXT= -0.77 AYT= 2.82 AZT= 2.93 GX= -7.02 GY= 0.15 GZ= 0.88 AXL= 0.08 AYL= -0.50 AZL= -8.75 GXYZ= 7.07
14:42:08,AXYZ= 0.50
14:42:08,the car stop moving
14:42:08,AXT= -0.62 AYT= 2.70 AZT= 2.77 GX= -6.95 GY= 0.04 GZ= 0.69 AXL= 0.06 AYL= -0.47 AZL= -8.75 GXYZ= 6.98
14:42:08,AXYZ= 0.48
14:42:08,the car stop moving
14:42:08,AXT= -0.60 AYT= 2.63 AZT= 2.70 GX= -6.89 GY= 0.21 GZ= 0.69 AXL= 0.05 AYL= -0.46 AZL= -8.74 GXYZ= 6.93
14:42:08,AXYZ= 0.46
14:42:08,the car stop moving
14:42:08,AXT= -0.62 AYT= 3.01 AZT= 3.07 GX= -6.94 GY= 0.08 GZ= 0.68 AXL= 0.05 AYL= -0.53 AZL= -8.75 GXYZ= 6.97
14:42:08,AXYZ= 0.53
14:42:08,the car stop moving
14:42:08,AXT= -0.81 AYT= 3.01 AZT= 3.12 GX= -6.91 GY= 0.29 GZ= 0.69 AXL= 0.08 AYL= -0.53 AZL= -8.74 GXYZ= 6.95
14:42:08,AXYZ= 0.54
14:42:08,the car stop moving
14:42:08,AXT= -0.76 AYT= 3.19 AZT= 3.28 GX= -7.02 GY= 0.21 GZ= 0.65 AXL= 0.07 AYL= -0.56 AZL= -8.73 GXYZ= 7.06
14:42:08,AXYZ= 0.56
14:42:08,the car stop moving
14:42:08,AXT= -0.58 AYT= 2.87 AZT= 2.92 GX= -6.91 GY= 0.43 GZ= 0.71 AXL= 0.05 AYL= -0.50 AZL= -8.74 GXYZ= 6.96
14:42:08,AXYZ= 0.50
14:42:08,the car stop moving
14:42:08,AXT= -1.01 AYT= 2.81 AZT= 2.98 GX= -7.08 GY= 0.21 GZ= 0.63 AXL= 0.12 AYL= -0.50 AZL= -8.74 GXYZ= 7.11
14:42:08,AXYZ= 0.51
14:42:08,the car stop moving
14:42:09,AXT= -0.45 AYT= 2.40 AZT= 2.44 GX= -6.94 GY= 0.39 GZ= 0.80 AXL= 0.03 AYL= -0.42 AZL= -8.74 GXYZ= 7.00
14:42:09,AXYZ= 0.42
14:42:09,the car stop moving
14:42:09,AXT= -0.72 AYT= 2.74 AZT= 2.83 GX= -6.97 GY= 0.25 GZ= 0.51 AXL= 0.07 AYL= -0.48 AZL= -8.74 GXYZ= 6.99
14:42:09,AXYZ= 0.49
14:42:09,the car stop moving
14:42:09,AXT= -0.80 AYT= 2.96 AZT= 3.07 GX= -6.96 GY= 0.33 GZ= 0.77 AXL= 0.08 AYL= -0.52 AZL= -8.74 GXYZ= 7.01
14:42:09,AXYZ= 0.53
14:42:09,the car stop moving
14:42:09,AXT= -0.55 AYT= 2.57 AZT= 2.63 GX= -6.89 GY= -0.04 GZ= 0.70 AXL= 0.05 AYL= -0.45 AZL= -8.75 GXYZ= 6.92
14:42:09,AXYZ= 0.45
